Date,Value,Anomaly
200103,28.0,-2.6
200104,44.4,1.6
200105,57.0,2.5
200106,64.8,1.4
200107,65.9,-2.3
200108,70.0,4.0
200109,59.4,0.5
200110,50.1,2.1
200111,43.1,6.8
200112,33.4,8.9
200201,29.1,9.3
200202,29.1,8.4
200203,33.2,2.6
200204,45.9,3.1
200205,51.3,-3.2
200206,64.4,1.0
200207,70.0,1.8
200208,69.0,3.0
200209,63.1,4.2
200210,46.2,-1.8
200211,36.0,-0.3
200212,24.8,0.3
200301,14.6,-5.2
200302,18.3,-2.4
200303,31.7,1.1
200304,41.3,-1.5
200305,53.8,-0.7
200306,62.7,-0.7
200307,68.1,-0.1
200308,69.1,3.1
200309,60.5,1.6
200310,46.2,-1.8
200311,40.5,4.2
200312,27.5,3.0
200401,12.8,-7.0
200402,21.6,0.9
200403,34.8,4.2
200404,44.1,1.3
200405,58.5,4.0
200406,62.0,-1.4
200407,67.3,-0.9
200408,65.8,-0.2
200409,61.9,3.0
200410,48.4,0.4
200411,38.8,2.5
200412,26.0,1.5
200501,18.6,-1.2
200502,24.1,3.4
200503,27.6,-3.0
200504,45.9,3.1
200505,51.0,-3.5
200506,69.1,5.7
200507,71.1,2.9
200508,70.1,4.1
200509,63.2,4.3
200510,49.7,1.7
200511,40.5,4.2
200512,23.8,-0.7
200601,30.1,10.3
200602,24.7,4.0
200603,31.7,1.1
200604,45.7,2.9
200605,55.7,1.2
200606,64.4,1.0
200607,71.0,2.8
200608,66.8,0.8
200609,58.1,-0.8
200610,46.6,-1.4
200611,42.4,6.1
200612,34.4,9.9
200701,25.2,5.4
200702,16.2,-4.5
200703,30.2,-0.4
200704,41.2,-1.6
200705,56.2,1.7
200706,65.7,2.3
200707,66.7,-1.5
200708,67.8,1.8
200709,62.0,3.1
200710,54.9,6.9
200711,35.9,-0.4
200712,25.9,1.4
200801,25.9,6.1
200802,23.5,2.8
200803,29.3,-1.3
200804,48.4,5.6
200805,51.7,-2.8
200806,66.6,3.2
200807,69.1,0.9
200808,64.8,-1.2
200809,60.7,1.8
200810,46.4,-1.6
200811,36.4,0.1
200812,26.5,2.0
200901,15.0,-4.8
200902,24.7,4.0
200903,33.1,2.5
200904,45.8,3.0
200905,55.1,0.6
200906,62.1,-1.3
200907,65.2,-3.0
200908,67.9,1.9
200909,58.4,-0.5
200910,45.9,-2.1
200911,41.8,5.5
200912,25.2,0.7
201001,21.8,2.0
201002,24.1,3.4
201003,38.2,7.6
201004,49.2,6.4
201005,58.6,4.1
201006,65.1,1.7
201007,71.4,3.2
201008,68.2,2.2
201009,60.9,2.0
201010,48.5,0.5
201011,37.9,1.6
201012,23.1,-1.4
201101,18.6,-1.2
201102,21.8,1.1
201103,30.9,0.3
201104,45.0,2.2
201105,58.0,3.5
201106,65.1,1.7
201107,71.4,3.2
201108,67.6,1.6
201109,62.6,3.7
201110,49.6,1.6
201111,43.1,6.8
201112,31.8,7.3
201201,26.0,6.2
201202,29.9,9.2
201203,43.3,12.7
201204,43.9,1.1
201205,60.5,6.0
201206,64.6,1.2
201207,71.4,3.2
201208,68.4,2.4
201209,59.9,1.0
201210,50.9,2.9
201211,35.7,-0.6
201212,31.6,7.1
201301,24.3,4.5
201302,23.3,2.6
201303,30.6,0.0
201304,43.4,0.6
201305,57.2,2.7
201306,64.0,0.6
201307,71.2,3.0
201308,65.8,-0.2
201309,58.3,-0.6
201310,50.8,2.8
201311,34.4,-1.9
201312,25.4,0.9
201401,16.9,-2.9
201402,18.8,-1.9
201403,23.6,-7.0
201404,43.5,0.7
201405,56.7,2.2
201406,65.0,1.6
201407,67.4,-0.8
201408,65.3,-0.7
201409,60.1,1.2
201410,51.3,3.3
201411,35.3,-1.0
201412,30.2,5.7
201501,16.2,-3.6
201502,9.2,-11.5
201503,25.5,-5.1
201504,43.3,0.5
201505,61.0,6.5
201506,63.0,-0.4
201507,68.1,-0.1
201508,67.5,1.5
201509,65.0,6.1
201510,47.4,-0.6
201511,42.8,6.5
201512,39.3,14.8
201601,23.7,3.9
201602,26.7,6.0
201603,37.7,7.1
201604,41.3,-1.5
201605,55.8,1.3
201606,64.1,0.7
201607,70.4,2.2
201608,70.9,4.9
201609,62.9,4.0
